"Provincia","Número de órdenes de protección"
"Almería","10847.0"
"Cádiz","15635.0"
"Córdoba","5999.0"
"Granada","10501.0"
"Huelva","7397.0"
"Jaén","6005.0"
"Málaga","17269.0"
"Sevilla","24888.0"
"Huesca","1847.0"
"Teruel","812.0"
"Zaragoza","7711.0"
"Asturias","10660.0"
"Illes Balears","12960.0"
"Las Palmas","15236.0"
"Santa Cruz de Tenerife","16199.0"
"Cantabria","4540.0"
"Ávila","1618.0"
"Burgos","3134.0"
"León","3763.0"
"Palencia","1191.0"
"Salamanca","1508.0"
"Segovia","1012.0"
"Soria","985.0"
"Valladolid","5590.0"
"Zamora","1335.0"
"Albacete","4433.0"
"Ciudad Real","6103.0"
"Cuenca","2300.0"
"Guadalajara","3268.0"
"Toledo","7646.0"
"Barcelona","51219.0"
"Girona","8977.0"
"Lleida","3872.0"
"Tarragona","11393.0"
"Alicante/Alacant","28329.0"
"Castellón/Castelló","6265.0"
"Valencia/València","28993.0"
"Badajoz","7068.0"
"Cáceres","3346.0"
"A Coruña","7998.0"
"Lugo","2732.0"
"Ourense","3859.0"
"Pontevedra","7543.0"
"Madrid","75310.0"
"Murcia","20597.0"
"Navarra","4511.0"
"Araba/Álava","1773.0"
"Gipuzkoa","3748.0"
"Bizkaia","5741.0"
"La Rioja","3485.0"
"Ceuta","1302.0"
"Melilla","582.0"
